Formula,Name,Page number
BeWO4,BERYLLIUM TUNGSTATE,189
CCI2Br2{g],DICHLORODIBROMOMETHANE (GAS),233
Bi,BISMUTH,190
CCI3Br{g],TRICHLOROBROMOMETHANE (GAS),234
Bifg],BISMUTH (GAS),191
CCIBriI2[g],CHLOROBROMCDIIODOMETHANE (GAS},235
Bi2[g],BISMUTH (GAS),192
CCIBr2l[g],CHLORODIBROMOIODOMETHANE (GAS),236
BiAsO4,BISMUTH ARSENATE,192
CCI2Bri[g},DICHLOROBROMOIODOMETHANE (GAS),237
BiBrig],BISMUTH MONOBROMIDE (GAS),193
CCII3{g],CHLOROTRIIODOMETHANE (GAS),238
BiBr3,BISMUTH BROMIDE,194
CCI2I2[g],DICHLORODIIODOMETHANE (GAS),239
BiBr3[g],BISMUTH BROMIDE (GAS),194
CCISI[g],TRICHLOROIODOMETHANE (GAS),240
BiCl[g],BISMUTH MONOCHLORIDE (GAS),195
CFig],FLUOROMETHYLIDYNE (GAS),241
BiCI3,BISMUTH CHLORIDE,195
CF2g],DIFLUOROMETHYLENE (GAS),242
BiCI3[g],BISMUTH CHLORIDE (GAS),196
CF3[g],TRIFLUOROMETHYL (GAS),243
BiF[g],BISMUTH MONOFLUORIDE (GAS),196
CF4{g],TETRAFLUOROMETHANE (GAS),244
BIF3,BISMUTH FLUORIDE,197
C2F[g],DICARBON FLUORIDE (GAS),245
BiF3[g],BISMUTH FLUORIDE (GAS),197
C2F2{g},DIFLUOROACETYLENE (GAS),246
Bil,BISMUTH MONOIODIDE,198
C2F3[g],DICARBON TRIFLUORIDE (GAS),247
Billg],BISMUTH MONCIODIDE (GAS),198
C2F4{[g],TETRAFLUOROETHENE (GAS},248
Bil3,BISMUTH IODIDE,199
C2F5{g],PENTAFLUOROETHYL (GAS),249
Bil3[g],BISMUTH IODIDE (GAS),199
C2F6[g],HEXAFLUOROETHANE (GAS),250
BiK3,BISMUTH 3-POTASSIUM,200
CFBr3ig],FLUOROTRIBROMOMETHANE (GAS),251
BiMn,BISMUTH MANGANESE,200
CF2Br2[g],DIFLUORODIBROMOMETHANE (GAS),252
BiNi,BISMUTH NICKEL,201
CF3Br[g],TRIFLUOROBROMOMETHANE (GAS),253
Bi203,BISMUTH OXIDE,202
CFBrl2{g],FLUOROBROMODIIODOMETHANE (GAS),254
BiOCI,BISMUTH CHLORIDE OXIDE,202
CFBr2l[g],FLUORODIBROMOIODOMETHANE (GAS),255
CF2Brl[g],DIFLUOROBROMOIODOMETHANE (GAS),256
C6H14{g],HEXANE (GAS),301
CFC|[g],FLUOROCHLOROMETHYLENE (GAS),257
C7H8,TOLUENE (METHYLBENZENE),301
CFCl2{g],FLUORODICHLOROMETHYL (GAS),258
C7H8[g],TOLUENE (METHYLBENZENE) (GAS),302
CFCI3{g],FLUOROTRICHLOROMETHANE (GAS),259
C7H14,CYCLOHEPTANE,302
CF2Cl[g],DIFLUOROCHLOROMETHYL (GAS),260
C7H14{g],CYCLOHEPTANE (GAS),303
CF2Ci2ig],DIFLUORODICHLOROMETHANE (GAS),261
C7H14(M],METHYLCYCLOHEXANE,303
CF3Cl[g],TRIFLUOROCHLOROMETHANE (GAS),262
C7H14[MI[g],METHYLCYCLOHEXANE (GAS),304
C2FCl[g],FLUOROCHLOROACETYLENE (GAS),263
C7H16,HEPTANE,304
C2FCI3{g],FLUOROTRICHLOROETHYLENE (GAS),264
C7H16[g],HEPTANE (GAS),305
C2F2Cl2{g],DIFLUORODICHLOROETHYLENE (GAS),265
C8H10,"O-XYLENE (1,2-DIMETHYLBENZENE)",305
"C2F2Cl2[1,1]Ig]"," 1,1-DIFLUORODICHLOROETHYLENE (GAS)",266
C8H10[E],ETHYLBENZENE,306
C2F2Ci2{cis][g],CIS-DIFLUORODICHLOROETHYLENE (GAS),267
C8H10[g],"O-XYLENE (1,2-DIMETHYLBENZENE) (GAS)",306
C2F2Cl2[trans][g],| TRANS-DIFLUORODICHLOROETHYLENE C8HI10(E][g] ETHYLBENZENE (GAS),307
(GAS),,268
C8H14Ig},OCT-1-YNE (GAS),307
C2F3Cllg],TRIFLUOROCHLOROETHYLENE (GAS),269
C8Hi6,ETHYLCYCLOHEXANE,308
CFCIBr2[g],FLUOROCHLORODIBROMOMETHANE (GAS),270
C8H16/g],ETHYLCYCLOHEXANE (GAS),308
CFCI2Br(g],FLUORODICHLOROBROMOMETHANE (GAS),271
C8H18,OCTANE,309
CF2CIBrig],DIFLUOROCHLOROBROMOMETHANE (GAS),272
C8H18[g],OCTANE (GAS),309
CFCIBrl[g],FLUOROCHLOROBROMOIODOMETHANE C9H16[g} NON-1-YNE (GAS),310
(GAS),,273
C9H20,NONANE,310
CFCIl2[g],FLUOROCHLORODIIODOMETHANE (GAS),274
C9H20[g],NONANE (GAS),311
CFCial[g},FLUORODICHLOROIODOMETHANE (GAS),275
C10H22,DECANE,311
CF2Cli[g],DIFLUOROCHLOROIODOMETHANE (GAS),276
C10H22(g],DECANE (GAS),312
CFI3[g],FLUOROTRIIODOMETHANE (GAS),277
CHBr3{g],TRIBROMOMETHANE (GAS),313
CF2l2{g],DIFLUORODIIODOMETHANE (GAS),278
CH2Br2[g],DIBROMOMETHANE (GAS),314
CF3l[g],TRIFLUOROIODOMETHANE (GAS),279
CH3Br(g],BROMOMETHANE (GAS),315
CH{g],METHYLIDYNE (GAS),280
CHBrl2[g],BROMODIIODOMETHANE (GAS),316
CH2{g],METHYLENE (GAS),281
CHBral[g],DIBROMOIODOMETHANE (GAS),317
CH3{g],METHYL (GAS),282
CH2Brl[g],BROMOIODOMETHANE (GAS),318
CH4{[g],METHANE (GAS),283
CHCl[g],CHLOROMETHYLENE (GAS),319
C2H{g],DICARBON HYDRIDE (GAS),284
CHCl2{g],DICHLOROMETHYL (GAS),320
C2H2{g],ACETYLENE (GAS),285
CHCI3[g],TRICHLOROMETHANE (GAS),321
C2H3{g],DICARBON TRIHYDRIDE (GAS),286
CH2C\[g],CHLOROMETHYL (GAS),322
C2H4[g],ETHENE (GAS),287
CH2Ci2(g],DICHLOROMETHANE (GAS),323
C2H5{[g],ETHYL (GAS),288
CH3Cl{g],CHLOROMETHANE (GAS),323
C2H6[g],ETHANE (GAS),289
C2HCl|g],CHLOROACETYLENE (GAS),324
C3H4{g],PROPADIENE (GAS),290
