Formula,Name,Page number,bare_formula,phase_tag,reduced_formula,material_id,match_method,phase_name_verified,spacegroup
CH3F[g],FLUOROMETHANE (GAS),345,CH3F,g,,,gas_phase_organic,,
C2HF[g],FLUOROACETYLENE (GAS),346,C2HF,g,,,gas_phase_organic,,
C2HF3[g],TRIFLUOROETHYLENE (GAS),347,C2HF3,g,,,gas_phase_organic,,
C2H2F2[g],DIFLUOROETHYLENE (GAS),348,C2H2F2,g,,,gas_phase_organic,,
"C2H2F2[1,1][g]","1,1-DIFLUOROETHYLENE (GAS)",349,C2H2F2,g,,,gas_phase_organic,,
C2H2F2[cis][g],CIS-DIFLUOROETHYLENE (GAS),350,C2H2F2,g,,,gas_phase_organic,,
C2H2F2[trans][g],TRANS-DIFLUOROETHYLENE (GAS),351,C2H2F2,g,,,gas_phase_organic,,
C2H3F[g],FLUOROETHYLENE (GAS),352,C2H3F,g,,,gas_phase_organic,,
CHFBr2[g],FLUORODIBROMOMETHANE (GAS),353,CHFBr2,g,,,gas_phase_organic,,
CHF2Br[g],DIFLUOROBROMOMETHANE (GAS),354,CHF2Br,g,,,gas_phase_organic,,
CH2FBr[g],FLUOROBROMOMETHANE (GAS),355,CH2FBr,g,,,gas_phase_organic,,
CHFBrI[g],FLUOROBROMOIODOMETHANE (GAS),356,CHFBrI,g,,,gas_phase_organic,,
CHFCl[g],FLUOROCHLOROMETHYL (GAS),357,CHFCl,g,,,gas_phase_organic,,
CHFCl2[g],FLUORODICHLOROMETHANE (GAS),358,CHFCl2,g,,,gas_phase_organic,,
CHF2Cl[g],DIFLUOROCHLOROMETHANE (GAS),359,CHF2Cl,g,,,gas_phase_organic,,
CH2FCl[g],FLUOROCHLOROMETHANE (GAS),360,CH2FCl,g,,,gas_phase_organic,,
C2HFCl2[g],FLUORODICHLOROETHYLENE (GAS),361,C2HFCl2,g,,,gas_phase_organic,,
"C2HFCl2[1,1][g]","1,1-FLUORODICHLOROETHYLENE (GAS)",362,C2HFCl2,g,,,gas_phase_organic,,
C2HFCl2[cis][g],CIS-FLUORODICHLOROETHYLENE (GAS),363,C2HFCl2,g,,,gas_phase_organic,,
C2HFCl2[trans][g],TRANS-FLUORODICHLOROETHYLENE (GAS),364,C2HFCl2,g,,,gas_phase_organic,,
C2HF2Cl[g],DIFLUOROCHLOROETHYLENE (GAS),365,C2HF2Cl,g,,,gas_phase_organic,,
"C2HF2Cl[1,1][g]","1,1-DIFLUOROCHLOROETHYLENE (GAS)",366,C2HF2Cl,g,,,gas_phase_organic,,
C2HF2Cl[cis][g],CIS-DIFLUOROCHLOROETHYLENE (GAS),367,C2HF2Cl,g,,,gas_phase_organic,,
C2HF2Cl[trans][g],TRANS-DIFLUOROCHLOROETHYLENE (GAS),368,C2HF2Cl,g,,,gas_phase_organic,,
C2H2FCl[g],FLUOROCHLOROETHYLENE (GAS),369,C2H2FCl,g,,,gas_phase_organic,,
"C2H2FCl[1,1][g]","1,1-FLUOROCHLOROETHYLENE (GAS)",370,C2H2FCl,g,,,gas_phase_organic,,
C2H2FCl[cis][g],CIS-FLUOROCHLOROETHYLENE (GAS),371,C2H2FCl,g,,,gas_phase_organic,,
C2H2FCl[trans][g],TRANS-FLUOROCHLOROETHYLENE (GAS),372,C2H2FCl,g,,,gas_phase_organic,,
CHFCIBr[g],FLUOROCHLOROBROMOMETHANE (GAS),373,CHFClBr,g,,,gas_phase_organic,,
CHFClI[g],FLUOROCHLOROIODOMETHANE (GAS),374,CHFClI,g,,,gas_phase_organic,,
CHFI2[g],FLUORODIIODOMETHANE (GAS),375,CHFI2,g,,,gas_phase_organic,,
