Formula,Name,Page number
BI2[g],BORON DIIODIDE (GAS),119
BI3[g],BORON TRIIODIDE (GAS),120
BN,BORON NITRIDE,121
B2O3,BORON OXIDE,122
B2O3[g],BORON OXIDE (IDEAL GAS),123
B2O3[GL],BORON OXIDE (GLASS),124
BOCl[g],BORON CHLORIDE OXIDE (GAS),125
BP,BORON MONOPHOSPHIDE,125
BS[g],BORON MONOSULFIDE (GAS),126
B2S3,DIBORON TRISULFIDE,126
Ba,BARIUM,127
Ba[g],BARIUM (GAS),128
Ba3(AsO4)2,BARIUM ARSENATE,129
BaBr2,BARIUM BROMIDE,130
BaBr2[g],BARIUM BROMIDE (GAS),131
BaC2,BARIUM DICARBIDE,132
BaCO3,BARIUM CARBONATE,133
BaCl[g],BARIUM MONOCHLORIDE (GAS),134
BaCl2,BARIUM CHLORIDE,135
BaCl2[g],BARIUM CHLORIDE (GAS),136
BaCrO4,BARIUM CHROMATE,137
BaF[g],BARIUM MONOFLUORIDE (GAS),138
BaF2,BARIUM FLUORIDE,139
BaF2[g],BARIUM FLUORIDE (GAS),140
BaH[g],BARIUM MONOHYDRIDE (GAS),141
BaH2,BARIUM HYDRIDE,142
BaI[g],BARIUM MONOIODIDE (GAS),143
BaI2,BARIUM IODIDE,144
BaI2[g],BARIUM IODIDE (GAS),145
BaMoO4,BARIUM MOLYBDATE,146
Ba3N2,TRIBARIUM DINITRIDE,146
Ba(NO3)2,BARIUM NITRATE,147
BaO,BARIUM OXIDE,148
BaO2,BARIUM PEROXIDE,149
BaAl2O4,BARIUM DIALUMINIUM TETRAOXIDE,149
Ba3Al2O6,TRIBARIUM DIALUMINIUM HEXAOXIDE,150
Ba(OH)2,BARIUM HYDROXIDE,151
Ba(OH)2[g],BARIUM HYDROXIDE (GAS),152
BaHfO3,BARIUM HAFNIUM TRIOXIDE,152
BaSiO3,BARIUM METASILICATE,153
BaSi2O5,BARIUM DISILICATE,154
Ba2SiO4,BARIUM ORTHOSILICATE,155
Ba2Si3O8,DIBARIUM TRISILICATE,156
BaTiO3,BARIUM TITANIUM TRIOXIDE,157
Ba2TiO4,DIBARIUM TITANIUM TETRAOXIDE,158
BaUO4,BARIUM URANATE,158
BaZrO3,BARIUM ZIRCONIUM TRIOXIDE,159
BaS,BARIUM SULFIDE,160
BaSO4,BARIUM SULFATE,161
Ba2Sn,2-BARIUM TIN,161
BaTe,BARIUM TELLURIDE,162
BaWO4,BARIUM TUNGSTATE,162
Be,BERYLLIUM,163
Be[g],BERYLLIUM (GAS),164
Be3(AsO4)2,BERYLLIUM ARSENATE,165
BeBr[g],BERYLLIUM MONOBROMIDE (GAS),165
BeBr2,BERYLLIUM BROMIDE,166
BeBr2[g],BERYLLIUM BROMIDE (GAS),166
Be2C,DIBERYLLIUM CARBIDE,167
BeCl[g],BERYLLIUM MONOCHLORIDE (GAS),168
BeCl2,BERYLLIUM CHLORIDE,169
BeCl2[g],BERYLLIUM CHLORIDE (GAS),170
Be2Cl4[g],DIBERYLLIUM TETRACHLORIDE (GAS),171
BeF[g],BERYLLIUM MONOFLUORIDE (GAS),172
BeF2,BERYLLIUM FLUORIDE,173
BeF2[g],BERYLLIUM FLUORIDE (GAS),174
BeH[g],BERYLLIUM MONOHYDRIDE (GAS),175
BeI[g],BERYLLIUM MONOIODIDE (GAS),176
BeI2,BERYLLIUM IODIDE,176
BeI2[g],BERYLLIUM IODIDE (GAS),177
Be3N2,ALPHA BERYLLIUM NITRIDE,178
BeO,BERYLLIUM OXIDE,179
BeAl2O4,BERYLLIUM DIALUMINIUM TETRAOXIDE,180
BeAl6O10,BERYLLIUM HEXAALUMINIUM DECAOXIDE,181
Be3B2O6,TRIBERYLLIUM DIBORATE,182
BeOH[g],BERYLLIUM MONOHYDROXIDE (GAS),183
Be(OH)2,BERYLLIUM HYDROXIDE (ALPHA),183
Be(OH)2[B],BERYLLIUM HYDROXIDE (BETA),184
Be(OH)2[g],BERYLLIUM HYDROXIDE (GAS),184
Be2Si04,BERYLLIUM SILICATE (PHENACITE),185
BeS,BERYLLIUM SULFIDE,186
BeS[g],BERYLLIUM SULFIDE (GAS),187
BeSO4,BERYLLIUM SULFATE,188
BeSO4*2H2O,BERYLLIUM SULFATE DIHYDRATE,188
BeSO4*4H2O,BERYLLIUM SULFATE TETRAHYDRATE,189
BeWO4,BERYLLIUM TUNGSTATE,189
Bi,BISMUTH,190
Bi[g],BISMUTH (GAS),191
Bi2[g],BISMUTH (GAS),192
BiAsO4,BISMUTH ARSENATE,192
BiBr[g],BISMUTH MONOBROMIDE (GAS),193
BiBr3,BISMUTH BROMIDE,194
BiBr3[g],BISMUTH BROMIDE (GAS),194
BiCl[g],BISMUTH MONOCHLORIDE (GAS),195
BiCl3,BISMUTH CHLORIDE,195
BiCl3[g],BISMUTH CHLORIDE (GAS),196
