Formula,Name,Page number
Hg3(AsO4)2,TRIMERCURY DIARSENATE,820
HgBr[g],MERCURY MONOBROMIDE (GAS),821
HgBr2,MERCURY DIBROMIDE,821
HgBr2[g],MERCURY DIBROMIDE (GAS),822
Hg2Br2,DIMERCURY DIBROMIDE,822
HgCl[g],MERCURY MONOCHLORIDE (GAS),823
HgCl2,MERCURY DICHLORIDE,823
HgCl2[g],MERCURY DICHLORIDE (GAS),824
Hg2Cl2,DIMERCURY DICHLORIDE,824
HgF[g],MERCURY MONOFLUORIDE (GAS),825
HgF2,MERCURY DIFLUORIDE,825
HgF2[g],MERCURY DIFLUORIDE (GAS),826
Hg2F2,DIMERCURY DIFLUORIDE,826
HgH[g],MERCURY MONOHYDRIDE (GAS),827
HgI[g],MERCURY MONOIODIDE (GAS),828
HgI2,MERCURY DIIODIDE,828
HgI2[g],MERCURY DIIODIDE (GAS),829
Hg2I2,DIMERCURY DIIODIDE,829
HgO,MERCURY OXIDE (RED),830
HgO[g],MERCURY OXIDE (GAS),830
HgS,MERCURY SULFIDE (RED.),831
HgS[g],MERCURY SULFIDE (GAS),831
HgSO4,MERCURY SULFATE,832
Hg2SO4,DIMERCURY SULFATE,832
HgSe,MERCURY SELENIDE,833
HgSe[g],MERCURY SELENIDE (GAS),833
HgSeO3,MERCURY SELENITE,834
HgTe,MERCURY TELLURIDE,834
HgTe[g],MERCURY TELLURIDE (GAS),835
Ho,HOLMIUM,836
Ho[g],HOLMIUM (GAS),837
HoBr3,HOLMIUM BROMIDE,838
HoBr3[g],HOLMIUM BROMIDE (GAS),839
HoCl3,HOLMIUM CHLORIDE,840
HoCl3[g],HOLMIUM CHLORIDE (GAS),841
HoCl3*6H2O,HOLMIUM CHLORIDE HEXAHYDRATE,841
HoF3,HOLMIUM FLUORIDE,842
HoF3[g],HOLMIUM FLUORIDE (GAS),843
Ho2O3,HOLMIUM OXIDE,843
I[g],IODINE (GAS),844
I2,IODINE,845
I2[g],IODINE (GAS),845
In,INDIUM,846
In[g],INDIUM (GAS),847
InAs,INDIUM ARSENIDE,848
InAsO4,INDIUM ARSENATE,848
InBr,INDIUM MONOBROMIDE,849
InBr[g],INDIUM MONOBROMIDE (GAS),849
InBr3,INDIUM TRIBROMIDE,850
InCl,INDIUM MONOCHLORIDE,850
InCl[g],INDIUM MONOCHLORIDE (GAS),851
InCl2,INDIUM DICHLORIDE,851
InCl2[g],INDIUM DICHLORIDE (GAS),852
InCl3,INDIUM TRICHLORIDE,852
InCl3[g],INDIUM TRICHLORIDE (GAS),853
In2Cl6[g] ,DIINDIUM HEXACHLORIDE (GAS),854
InF[g],INDIUM MONOFLUORIDE (GAS),855
InF2[g],INDIUM DIFLUORIDE (GAS),856
InF3,INDIUM TRIFLUORIDE,857
InF3[g],INDIUM TRIFLUORIDE (GAS),858
InI,INDIUM MONOIODIDE,858
InI[g],INDIUM MONOIODIDE (GAS),859
InI2[g],INDIUM DIIODIDE (GAS),860
InI3,INDIUM TRIIODIDE,860
InI3[g],INDIUM TRIODIDE (GAS),861
InN,INDIUM NITRIDE,861
In2O[g],DIINDIUM OXIDE (GAS),862
In2O3,DIINDIUM TRIOXIDE,863
InP,INDIUM PHOSPHIDE,864
InS,INDIUM MONOSULFIDE,865
InS[g],INDIUM MONOSULFIDE (GAS),866
In2S3,DIINDIUM TRISULFIDE,867
In5S6,PENTAINDIUM HEXASULFIDE,867
In2(SO4)3,DIINDIUM TRISULFATE,868
InSb,INDIUM ANTIMONY,868
InSe,INDIUM MONOSELENIDE,869
InSe[g],INDIUM MONOSELENIDE (GAS),870
In2Se3,DIINDIUM TRISELENIDE,870
InTe,INDIUM MONOTELLURIDE,871
In2Te,DIINDIUM TELLURIDE,871
In2Te3,DIINDIUM TRITELLURIDE,872
Ir,IRIDIUM,873
Ir[g],IRIDIUM (GAS),874
IrBr3,IRIDIUM TRIBROMIDE,875
IrCl3,IRIDIUM TRICHLORIDE,875
IrF6[g],IRIDIUM HEXAFLUORIDE (GAS),876
IrI,IRIDIUM MONOIODIDE,876
Irl2,IRIDIUM DIIODIDE,877
IrO2,IRIDIUM DIOXIDE,877
IrO2[g],IRIDIUM DIOXIDE (GAS),878
IrO3[g],IRIDIUM TRIOXIDE (GAS),879
IrS2,IRIDIUM DISULFIDE,879
Ir2S3,DIIRIDIUM TRISULFIDE,880
K,POTASSIUM,880
K[g],POTASSIUM (GAS),881
K2[g],POTASSIUM (GAS),882
KAlCl4,POTASSIUM TETRACHLOROALUMINATE,882
K3AlCl6,TRIPOTASSIUM HEXACHLOROALUMINATE,883
K3AlF6,TRIPOTASSIUM HEXAFLUOROALUMINATE,883
KAl(SO4)2,POTASSIUM ALUMINIUM SULFATE,884
KAl(SO4)2*3H2O,POTASSIUM ALUMIN. SULFATE 3-HYDRATE,884
KAl(SO4)2*12H2O,POTASSIUM ALUMIN. SULFATE 12-HYDR.,885
K3AsO4,POTASSIUM ARSENATE,885
KBO2,POTASSIUM METABORATE,886
KBO2[g],POTASSIUM METABORATE (GAS),887
KBr,POTASSIUM BROMIDE,888
KBr[g],POTASSIOM BROMIDE (GAS),889
K2Br2[g],DIPOTASSIUM DIBROMIDE (GAS),890
KCN,POTASSIUM CYANIDE,891
KCN[g],POTASSIUM CYANIDE (GAS),892
K2(CN)2[g],DIPOTASSIUM DICYANIDE (GAS),893
K2CO3,POTASSIUM CARBONATE,894
KCl,POTASSIUM CHLORIDE,895
KCl[g],POTASSIUM CHLORIDE (GAS),896
K2Cl2[g],DIPOTASSIUM DICHLORIDE (GAS),897
KClO4,POTASSIUM PERCHLORATE,897
K2CrO4,POTASSIUM CHROMATE,898
KF,POTASSIUM FLUORIDE,899
KF[g],POTASSIUM FLUORIDE (GAS),900
K2F2[g],DIPOTASSIUM DIFLUORIDE (GAS),901
KH,POTASSIUM HYDRIDE,901
KH[g],POTASSIUM HYDRIDE (GAS),902
KH2PO4,POTASSIUM DIHYDROGEN PHOSPHATE,903
K2HPO4,DIPOTASSIUM HYDROGEN PHOSPHATE,903
KI,POTASSIUM IODIDE,904
KI[g],POTASSIUM IODIDE (GAS),905
K2I2[g],DIPOTASSIUM DIIODIDE (GAS),906
KNO3,POTASSIUM NITRATE,906
KO[g],POTASSIUM MONOXIDE (GAS),907
KO2,POTASSIUM DIOXIDE,907
K2O,POTASSIUM OXIDE,908
K2O2,DIPOTASSIUM PEROXIDE,908
KAlSiO4,KALIOPHILITE,909
KAlSi2O6,LEUCITE,909
KAlSi3O8,MICROCLINE,910
KAlSi3O8[A],ADULARIA,910
KAlSi3O8[S],SANIDINE,911
KAl3Si3O10(OH)2,MUSCOVITE,912
K2B4O7,DIPOTASSIUM TETRABORATE,913
K2B6O10,DIPOTASSIUM HEXABORATE,913
K2B8O13,DIPOTASSIUM OCTABORATE,914
KOH,POTASSIUM HYDROXIDE,915
KOH[g],POTASSIUM HYDROXIDE (GAS),916
K2(OH)2[g],DIPOTASSIUM DIHYDROXIDE (GAS),917
K2SiO3,POTASSIUM METASILICATE,918
K2Si2O5,POTASSIUM DISILICATE,919
K2Si4O9,POTASSIUM TETRASILICATE,920
K3PO4,POTASSIUM PHOSPHATE,920
K2S,POTASSIUM SULFIDE,921
K2SO3,POTASSIUM SULFITE,922
K2SO4,POTASSIUM SULFATE,923
Kr[g],KRYPTON (GAS),924
La,LANTHANUM,925
La[g],LANTHANUM (GAS),926
LaAsO4,LANTHANUM ARSENATE,927
LaBr3,LANTHANUM BROMIDE,927
LaBr3[g],LANTHANUM BROMIDE (GAS),928
LaCl3,LANTHANUM CHLORIDE,929
LaCl3[g],LANTHANUM CHLORIDE (GAS),930
LaF3,LANTHANUM FLUORIDE,931
LaF3[g],LANTHANUM FLUORIDE (GAS),932
LaH2,LANTHANUM DIHYDRIDE,932
LaI3,LANTHANUM IODIDE,933
LaI3[g],LANTHANUM IODIDE (GAS),934
LaMg,LANTHANUM MAGNESIUM,934
LaN,LANTHANUM NITRIDE,935
La2O3,LANTHANUM OXIDE,936
LaOCl,LANTHANUM CHLORIDE OXIDE,936
LaS,LANTHANUM MONOSULFIDE,937
La2S3,LANTHANUM SULFIDE,938
LaSe,LANTHANUM MONOSELENIDE,939
LaSe[g],LANTHANUM MONOSELENIDE (GAS),940
La2Se3,LANTHANUM SELENIDE,941
La2Te3,LANTHANUM TELLURIDE,942
Li,LITHIUM,943
Li[g],LITHIUM (GAS),944
Li2[g],LITHIUM (GAS),945
LiAlF4[g],LITHIUM TETRAFLUOROALUMINATE (GAS),946
Li3AlF6,TRILITHIUM HEXAFLUOROALUMINATE,947
Li3AsO4,LITHIUM ARSENATE,948
LiBO2,LITHIUM METABORATE,948
LiBO2[g],LITHIUM METABORATE (GAS),949
LiBeF3,LITHIUM TRIFLUOROBERYLLATE,949
LiBeF3[g],LITHIUM TRIFLUOROBERYLLATE (GAS),950
Li2BeF4,DILITHIUM TETRAFLUOROBERYLLATE,951
LiBr,LITHIUM BROMIDE,952
LiBr[g],LITHIUM BROMIDE (GAS),953
Li2Br2[g],DILITHIUM DIBROMIDE (GAS),954
Li2CO3,LITHIUM CARBONATE,955
LiCl,LITHIUM CHLORIDE,956
LiCl[g],LITHIUM CHLORIDE (GAS),957
Li2Cl2[g],DILITHIUM DICHLORIDE (GAS),958
LiClO[g],LITHIUM HYPOCHLORITE (GAS),959
LiClO4,LITHIUM PERCHLORATE,960
LiF,LITHIUM FLUORIDE,961
LiF[g],LITHIUM FLUORIDE (GAS),962
Li2F2[g],DILITHIUM DIFLUORIDE (GAS),963
Li3F3[g],TRILITHIUM TRIFLUORIDE (GAS),964
LiFO[g],LITHIUM HYPOFLUORITE (GAS),965
LiH,LITHIUM HYDRIDE,966
LiH[g],LITHIUM HYDRIDE (GAS),967
LiI,LITHIUM IODIDE,968
LiI[g],LITHIUM IODIDE (GAS),969
Li2I2[g],DILITHIUM DIIODIDE (GAS),970
Li3N,TRILITHIUM NITRIDE,970
LiO[g],LITHIUM MONOXIDE (GAS),971
Li2O,LITHIUM OXIDE,972
Li2O[g],LITHIUM OXIDE (GAS),973
Li2O2,DILITHIUM PEROXIDE,973
Li2O2[g],DILITHIUM PEROXIDE (GAS),974
LiAlO2,LITHIUM ALUMINATE,975
LiAlSiO4,EUCRYPTITE,976
LiAlSi2O6,ALPHA-SPODUMENE,976
LiAlSi2O6[B],BETA-SPODUMENE,977
Li2B4O7,DILITHIUM TETRABORATE,978
Li2B6O10,DILITHIUM HEXABORATE,979
LiFeO2,LITHIUM IRON DIOXIDE,979
LiOH,LITHIUM HYDROXIDE,980
LiOH[g],LITHIUM HYDROXIDE (GAS),981
Li2(OH)2[g],DILITHIUM DIHYDROXIDE (GAS),982
Li2SiO3,LITHIUM METASILICATE,983
Li2Si2O5,LITHIUM DISILICATE,984
Li4SiO4,LITHIUM ORTHOSILICATE,985
Li2TiO3,DILITHIUM TITANIUM TRIOXIDE,986
Li2ZrO3,DILITHIUM ZIRCONIUM TRIOXIDE,987
Li2Se,LITHIUM SELENIDE,988
Li2SO4,LITHIUM SULFATE,988
Li2Te,LITHIUM TELLURIDE,989
Lu,LUTETIUM,990
Lu[g],LUTETIUM (GAS),991
Lu2O3,LUTETIUM OXIDE,992
Mg,MAGNESIUM,993
Mg3(AsO4)2,MAGNESIUM ARSENATE,994
Mg[g],MAGNESIUM (GAS),994
MgB2,MAGNESIUM DIBORIDE,995
MgB4,MAGNESIUM TETRABORIDE,995
MgBr[g],MAGNESIUM MONOBROMIDE (GAS),996
MgBr2,MAGNESIUM BROMIDE,997
MgBr2[g],MAGNESIUM BROMIDE (GAS),998
Mg2Br4[g],DIMAGNESIUM TETRABROMIDE (GAS),999
MgC2,MAGNESIUM DICARBIDE,1000
Mg2C3,DIMAGNESIUM TRICARBIDE,1001
MgCO3,MAGNESIUM CARBONATE,1001
MgCl[g],MAGNESIUM MONOCHLORIDE,1002
MgCl2,MAGNESIUM CHLORIDE,1003
MgCl2[g],MAGNESIUM CHLORIDE (GAS),1004
MgF[g],MAGNESIUM MONOFLUORIDE (GAS),1005
MgF2,MAGNESIUM FLUORIDE,1006
MgF2[g],MAGNESIUM FLUORIDE (GAS),1007
Mg2F4[g],DIMAGNESIUM TETRAFLUORIDE (GAS),1008
MgH2,MAGNESIUM HYDRIDE,1008
MgI[g],MAGNESIUM MONOIODIDE (GAS),1009
MgI2,MAGNESIUM IODIDE,1010
MgI2[g],MAGNESIUM IODIDE (GAS),1011
MgMoO4,MAGNESIUM MOLYBDATE,1011
Mg3N2,TRIMAGNESIUM DINITRIDE,1012
Mg(NO3)2,MAGNESIUM NITRATE,1012
MgNi2,MAGNESIUM 2-NICKEL,1013
MgO,MAGNESIUM OXIDE,1014
MgAl2O4,MAGNESIUM DIALUMINIUM TETRAOXIDE,1015
MgOH[g],MAGNESIUM MONOHYDROXIDE (GAS),1016
Mg(OH)2,MAGNESIUM HYDROXIDE,1017
Mg(OH)Cl,MAGNESIUM CHLORIDE HYDROXIDE,1017
MgSiO3,MAGNESIUM METASILICATE,1018
Mg2SiO4,MAGNESIUM ORTHOSILICATE,1019
Mg3Si2O5(OH)4,CHRYSOTILE,1020
Mg3Si4O10(OH)2,TALC,1020
Mg7Si8O22(OH)2,ANTHOPHYLLITE,1021
MgTiO3,MAGNESIUM TITANIUM TRIOXIDE,1022
MgTi2O5,MAGNESIUM DITITANIUM PENTOXIDE,1023
Mg2TiO4,DIMAGNESIUM TITANIUM TETRAOXIDE,1024
Mg3(PO4)2,MAGNESIUM ORTHOPHOSPHATE,1025
Mg2Pb,2-MAGNESIUM LEAD,1025
MgS,MAGNESIUM SULFIDE,1026
MgS[g],MAGNESIUM SULFIDE (GAS),1027
MgSO4,MAGNESIUM SULFATE,1028
MgSe,MAGNESIUM SELENIDE,1028
MgSeO3,MAGNESIUM SELENITE,1029
Mg2Si,2-MAGNESIUM SILICON,1029
MgTe,MAGNESIUM TELLURIDE,1030
Mg2Th,2-MAGNESIUM THORIUM,1030
Mg(VO3)2,MAGNESIUM METAVANADATE,1031
Mg2V207,MAGNESIUM PYROVANADATE,1031
MgWO4,MAGNESIUM TUNGSTATE,1032
Mn,MANGANESE,1033
Mn[g],MANGANESE (GAS),1034
MnAs,MANGANESE ARSENIDE,1035
Mn3(AsO4)2,MANGANESE ARSENATE,1035
MnB,MANGANESE MONOBORIDE,1036
MnB2,MANGANESE DIBORIDE,1036
MnBr2,MANGANESE DIBROMIDE,1037
MnBr2[g],MANGANESE DIBROMIDE (GAS),1038
Mn3C,TRIMANGANESE CARBIDE,1038
Mn7C3,HEPTAMANGANESE TRICARBIDE,1039
Mn15C4,15-MANGANESE 4-CARBIDE,1039
MnCO3,MANGANESE CARBONATE,1040
MnCl2,MANGANESE DICHLORIDE,1040
MnCl2[g],MANGANESE DICHLORIDE (GAS),1041
MnF2,MANGANESE DIFLUORIDE,1042
MnF2[g],MANGANESE DIFLUORIDE (GAS),1042
MnF3,MANGANESE TRIFLUORIDE,1043
MnI2,MANGANESE DIIODIDE,1043
MnMoO4,MANGANESE MOLYBDATE,1044
Mn4N,TETRAMANGANESE MONONITRIDE,1044
Mn5N2,PENTAMANGANESE DINITRIDE,1045
MnO,MANGANESE OXIDE,1046
MnO2,MANGANESE DIOXIDE,1047
Mn2O3,DIMANGANESE TRIOXIDE,1047
Mn3O4,TRIMANGANESE TETRAOXIDE,1048
MnAl2O4,MANGANESE DIALUMINIUM TETRAOXIDE,1049
MnSiO3,RHODONITE,1050
Mn2SiO4,TEPHROITE,1051
MnTiO3,MANGANESE TITANIUM TRIOXIDE,1052
Mn2TiO4,DIMANGANESE TITANIUM TETRAOXIDE,1052
MnP,MANGANESE MONOPHOSPHIDE,1053
MnP3,MANGANESE TRIPHOSPHIDE,1053
Mn2P,DIMANGANESE PHOSPHIDE,1054
MnS,MANGANESE MONOSULFIDE (GREEN),1055
MnS2,MANGANESE DISULFIDE,1055
MnSO4,MANGANESE SULFATE,1056
MnSb,MANGANESE ANTIMONY,1056
Mn2Sb,2-MANGANESE ANTIMONY,1057
MnSe,MANGANESE SELENIDE,1057
MnSi,MANGANESE SILICON,1058
MnSi1.7,MANGANESE 1.7-SILICON,1059
Mn3Si,3-MANGANESE SILICON,1059
Mn5Si3,5-MANGANESE 3-SILICON,1060
MnSn2,MANGANESE 2-TIN,1060
MnTe,MANGANESE TELLURIDE,1061
MnTe2,MANGANESE DITELLURIDE,1061
MnWO4,MANGANESE TUNGSTATE,1062
Mo,MOLYBDENUM,1063
Mo[g],MOLYBDENUM (GAS),1065
MoAsO4,MOLYBDENUM ARSENATE,1066
MoC,MOLYBDENUM MONOCARBIDE (GAMMA),1066
Mo2C,DIMOLYBDENUM CARBIDE,1067
Mo(CO)6,MOLYBDENUM HEXACARBONYL,1067
Mo(CO)6[g],MOLYBDENUM HEXACARBONYL (GAS),1068
Mo2N,DIMOLYBDENUM NITRIDE,1068
MoO[g],MOLYBDENUM MONOXIDE (GAS),1069
MoO2,MOLYBDENUM DIOXIDE,1070
MoO2[g],MOLYBDENUM DIOXIDE (GAS),1071
MoO3,MOLYBDENUM TRIOXIDE,1072
MoO3[g],MOLYBDENUM TRIOXIDE (GAS),1073
MoO2Cl2,MOLYBDENUM DICHLORIDE DIOXIDE,1074
MoO2Cl2[g],MOLYBDENUM DICHLORIDE DIOX. (GAS),1074
MoS2,MOLYBDENUM DISULFIDE,1075
MoS3,MOLYBDENUM TRISULFIDE,1075
Mo2S3,MOLYBDENUM SESQUISULFIDE,1076
MoSi2,MOLYBDENUM 2-SILICON,1077
Mo3Si,3-MOLYBDENUM SILICON,1078
Mo5Si3,5-MOLYBDENUM 3-SILICON,1079
N[g],NITROGEN (GAS),1080
N2[g],NITROGEN (GAS),1081
NCO[g],NCO RADICAL (GAS),1082
ND[g],IMIDOGEN-D1 (GAS),1083
ND2[g],AMIDOGEN-D2 (GAS),1084
ND3[g],AMMONIA-D3 (GAS),1085
NH[g],IMIDOGEN (GAS),1086
NH2[g],AMIDOGEN (GAS),1087
NH3[g],AMMONIA (GAS),1088
N2H4[g],HYDRAZINE (GAS),1089
NH4Cl,AMMONIUM CHLORIDE,1089
NH4ClO4,AMMONIUM PERCHLORATE,1090
NH4I,AMMONIUM IODIDE,1090
(NH4)2SO4,AMMONIUM SULFATE,1091
NO[g],NITRIC OXIDE (GAS),1092
NO2[g],NITROGEN DIOXIDE (GAS),1093
NO3[g],NITROGEN TRIOXIDE (GAS),1094
N20[g],DINITROGEN OXIDE (GAS),1095
N2O3[g],DINITROGEN TRIOXIDE (GAS),1096
N2O4,DINITROGEN TETRAOXIDE,1096
N2O4[g],DINITROGEN TETRAOXIDE (GAS),1097
N2O5[g],DINITROGEN PENTAOXIDE (GAS),1098
NOBr[g],NITROSYL BROMIDE (GAS),1099
NOCl[g],NITROSYL CHLORIDE (GAS),1100
NO2Cl[g],NITRYL CHLORIDE (GAS),1101
NOF[g],NITROSYL FLUORIDE (GAS),1102
Na,SODIUM,1102
Na[g],SODIUM (GAS),1103
Na2[g],SODIUM (GAS),1104
NaAlCl4,SODIUM TETRACHLOROALUMINATE,1104
Na3AlCl6,TRISODIUM HEXACHLOROALUMINATE,1105
Na3AlF6,CRYOLITE,1106
Na3As,TRISODIUM ARSENIDE,1107
Na3AsO4,SODIUM ARSENATE,1107
NaBO2,SODIUM METABORATE,1108
NaBO2[g],SODIUM METABORATE (GAS),1109
NaB3O5,SODIUM TRIBORATE,1110
Na2B4O7,DISODIUM TETRABORATE,1110
NaBr,SODIUM BROMIDE,1111
NaBr[g],SODIUM BROMIDE (GAS),1112
Na2Br2[g],DISODIUM DIBROMIDE (GAS),1113
NaCN,SODIUM CYANIDE,1114
NaCN[g],SODIUM CYANIDE (GAS),1115
Na2(CN)2[g],DISODIUM DICYANIDE (GAS),1116
Na2CO3,SODIUM CARBONATE,1117
NaCl,SODIUM CHLORIDE,1118
NaCl[g],SODIUM CHLORIDE (GAS),1119
Na2Cl2[g],DISODIUM DICHLORIDE (GAS),1120
NaClO4,SODIUM PERCHLORATE,1120
Na2CrO4,SODIUM CHROMATE,1121
NaF,SODIUM FLUORIDE,1122
NaF[g],SODIUM FLUORIDE (GAS),1123
Na2F2[g],DISODIUM DIFLUORIDE (GAS),1124
NaH,SODIUM HYDRIDE,1124
NaH[g],SODIUM HYDRIDE (GAS),1125
NaHCO3,SODIUM HYDROGEN CARBONATE,1125
NaI,SODIUM IODIDE,1126
Na2MoO4,SODIUM MOLYBDATE,1127
NaNO2,SODIUM NITRITE,1128
NaNO3,SODIUM NITRATE,1128
NaO[g],SODIUM MONOXIDE (GAS),1129
NaO2,SODIUM SUPEROXIDE,1129
Na2O,SODIUM OXIDE,1130
Na2O2,DISODIUM PEROXIDE,1131
NaAlO2,SODIUM ALUMINATE,1132
NaAlSiO4,NEPHELINE,1133
NaAlSi2O6,JADEITE,1134
NaAlSi2O6[D],DEHYDRATED ANALCITE,1134
NaAlSi3O8,ALBITE,1135
NaAlSi3O8[A],ANALBITE,1135
NaAlSi2O6*H2O,ANALCITE,1136
NaOH,SODIUM HYDROXIDE,1136
NaOH[g],SODIUM HYDROXIDE (GAS),1137
Na2(OH)2[g],DISODIUM DIHYDROXIDE (GAS),1138
Na2SiO3,SODIUM METASILICATE,1139
Na2Si2O5,SODIUM DISILICATE,1140
Na4SiO4,SODIUM ORTHOSILICATE,1141
Na6Si2O7,HEXASODIUM DISILICON HEPTAOXIDE,1141
Na2TiO3,DISODIUM TITANIUM TRIOXIDE,1142
Na2Ti2O5,DISODIUM DITITANIUM PENTAOXIDE,1143
Na2Ti3O7,DISODIUM TRITITANIUM HEPTAOXIDE,1144
Na3PO4,SODIUM PHOSPHATE,1144
Na2S,SODIUM SULFIDE,1145
Na2S2,DISODIUM DISULFIDE,1146
Na2S3,DISODIUM TRISULFIDE,1146
Na2S4,DISODIUM TETRASULFIDE,1147
Na2SO3,SODIUM SULFITE,1148
Na2SO4,SODIUM SULFATE,1149
Na2SO4[III],SODIUM SULFATE (III),1150
NaTe,SODIUM TELLURIDE,1150
NaTe3,SODIUM TRITELLURIDE,1151
Na2Te,SODIUM TELLURIDE,1152
NaVO3,SODIUM METAVANADATE,1153
Na3VO4,SODIUM ORTHOVANADATE,1154
Na4V2O7,SODIUM PYROVANADATE,1154
Na2WO4,SODIUM TUNGSTATE,1155
Nb,NIOBIUM,1156
Nb[g],NIOBIUM (GAS),1158
NbB2,NIOBIUM DIBORIDE,1159
NbBr5,NIOBIUM PENTABROMIDE,1160
NbBr5[g],NIOBIUM PENTABROMIDE (GAS),1160
NbC0.702,NIOBIUM 0.702-CARBIDE,1161
NbC0.825,NIOBIUM 0.825-CARBIDE,1162
NbC,NIOBIUM CARBIDE,1163
Nb2C,DINIOBIUM CARBIDE,1164
NbCl2,NIOBIUM DICHLORIDE,1164
NbCl2.33,NIOBIUM 2.33-CHLORIDE,1165
NbCl2.67,NIOBIUM 2.67-CHLORIDE,1165
NbCl3,NIOBIUM TRICHLORIDE,1166
NbCl3.13,NIOBIUM 3.13-CHLORIDE,1166
NbCl4,NIOBIUM TETRACHLORIDE,1167
NbCl4[g],NIOBIUM TETRACHLORIDE (GAS),1167
NbCl5,NIOBIUM PENTACHLORIDE,1168
NbCl5[g],NIOBIUM PENTACHLORIDE (GAS),1168
NbF5,NIOBIUM PENTAFLUORIDE,1169
NbF5[g],NIOBIUM PENTAFLUORIDE (GAS),1169
NbFe2,NIOBIUM 2-IRON,1170
NbI5,NIOBIUM PENTAIODIDE,1170
NbN,NIOBIUM NITRIDE,1171
Nb2N,DINOBIUM NITRIDE,1172
NbO,NIOBIUM MONOXIDE,1173
NbO2,NIOBIUM DIOXIDE,1174
Nb2O5,DINIOBIUM PENTAOXIDE,1175
NbOCl2,NIOBIUM DICHLORIDE OXIDE,1176
NbOCl3,NIOBIUM TRICHLORIDE OXIDE,1176
NbOCl3[g],NIOBIUM TRICHLORIDE OXIDE (GAS),1177
NbO2Cl,NIOBIUM CHLORIDE DIOXIDE,1177
NbSi2,NIOBIUM 2-SILICON,1178
Nb5Si3,5-NIOBIUM 3-SILICON,1179
Nd,NEODYMIUM,1180
Nd[g],NEODYMIUM (GAS),1181
NdBr3,NEODYMIUM BROMIDE,1182
NdBr3[g],NEODYMIUM BROMIDE (GAS),1183
NdCl3,NEODYMIUM CHLORIDE,1184
NdCl3[g],NEODYMIUM CHLORIDE (GAS),1185
NdF3,NEODYMIUM FLUORIDE,1186
NdF3[g],NEODYMIUM FLUORIDE (GAS),1187
NdH2,NEODYMIUM DIHYDRIDE,1187
Ndl3,NEODYMIUM IODIDE,1188
NdI3[g],NEODYMIUM IODIDE (GAS),1189
Nd2O3,NEODYMIUM OXIDE,1190
NdOCl,NEODYMIUM CHLORIDE OXIDE,1190
Nd2Zr2O7,NEODYMIUM ZIRCONIUM HEPTAOXIDE,1191
NdS,NEODYMIUM MONOSULFIDE,1191
Nd2S3,NEODYMIUM SULFIDE,1192
Nd2(SO4)3,NEODYMIUM SULFATE,1192
NdSe,NEODYMIUM MONOSELENIDE,1193
Nd2Se3,NEODYMIUM SELENIDE,1194
NdTe,NEODYMIUM MONOTELLURIDE,1195
Nd2Te3,NEODYMIUM TELLURIDE,1196
Ne[g],NEON (MONOATOMIC GAS),1197
Ni,NICKEL,1198
Ni[g],NICKEL (GAS),1199
NiAs,NICKEL ARSENIDE,1200
Ni5As2,5-NICKEL 2-ARSENIDE,1200
Ni11As8,11-NICKEL 8-ARSENIDE,1201
Ni3(AsO4)2,NICKEL ARSENATE,1201
NiB,NICKEL MONOBORIDE,1202
Ni4B3,TETRANICKEL TRIBORIDE,1202
NiBr[g],NICKEL MONOBROMIDE (GAS),1203
NiBr2,NICKEL BROMIDE,1203
NiBr2[g],NICKEL BROMIDE (GAS),1204
Ni3C,TRINICKEL CARBIDE,1204
NiCO3,NICKEL CARBONATE,1205
Ni(CO)4[g],NICKEL TETRACARBONYL (GAS),1205
NiCl[g],NICKEL MONOCHLORIDE (GAS),1206
NiCl2,NICKEL CHLORIDE,1207
NiCl2[g],NICKEL CHLORIDE (GAS),1208
NiF[g],NICKEL MONOFLUORIDE (GAS),1209
NiF2,NICKEL FLUORIDE,1210
NiF2[g],NICKELFLUORIDE (GAS),1211
NiI[g],NICKEL MONOIODIDE (GAS),1212
NiI2,NICKEL IODIDE,1212
NiO,NICKEL OXIDE,1213
NiO[g],NICKEL OXIDE (GAS),1214
NiAl2O4,NICKEL DIALUMINIUM TETRAOXIDE,1215
Ni2SiO4,DINICKEL ORTHOSILICATE,1216
NiTiO3,NICKEL TITANIUM TRIOXIDE,1217
Ni2P,DINICKEL PHOSPHIDE,1217
Ni3P,TRINICKEL PHOSPHIDE,1218
Ni5P2,PENTANICKEL DIPHOSPHIDE,1218
NiS0.84,NICKEL 0.84-SULFIDE,1219
NiS,NICKEL SULFIDE,1220
NiS2,NICKEL DISULFIDE,1221
Ni3S2,TRINICKEL DISULFIDE,1222
Ni3S4,TRINICKEL TETRASULFIDE,1222
NiSO4,NICKEL SULFATE,1223
NiSb,NICKEL ANTIMONY,1223
NiSe1.05,NICKEL 1.05-SELENIDE,1224
NiSe1.143,NICKEL 1.143-SELENIDE,1224
NiSe1.25,NICKEL 1.25-SELENIDE,1225
NiSe2,NICKEL DISELENIDE,1225
NiSeO3,NICKEL SELENITE,1226
NiSi,NICKEL SILICON,1226
Ni7Si13,7-NICKEL 13-SILICON,1227
Ni3Sn,3-NICKEL TIN,1227
Ni3Sn2,3-NICKEL 2-TIN,1228
NiTe1.1,NICKEL 1.1-TELLURIDE,1228
NiTi,NICKEL TITANIUM,1229
NiTi2,NICKEL 2-TITANIUM,1229
Ni3Ti,3-NICKEL TITANIUM,1230
NiWO4,NICKEL TUNGSTATE,1230
