Formula,Name,Page number,bare_formula,phase_tag,reduced_formula,material_id,match_method,phase_name_verified,spacegroup
CHF3[g],TRIFLUOROMETHANE (GAS),342,CHF3,g,,,gas_phase_organic,,
CH2F[g],FLUOROMETHYL (GAS),343,CH2F,g,,,gas_phase_organic,,
CH2F2[g],DIFLUOROMETHANE (GAS),344,CH2F2,g,,,gas_phase_organic,,
CH3F[g],FLUOROMETHANE (GAS),345,CH3F,g,,,gas_phase_organic,,
C2HF[g],FLUOROACETYLENE (GAS),346,C2HF,g,,,gas_phase_organic,,
C2HF3[g],TRIFLUOROETHYLENE (GAS),347,C2HF3,g,,,gas_phase_organic,,
C2H2F2[g],DIFLUOROETHYLENE (GAS),348,C2H2F2,g,,,gas_phase_organic,,
"C2H2F2[1,1][g]","1,1-DIFLUOROETHYLENE (GAS)",349,C2H2F2,g,,,gas_phase_organic,,
C2H2F2[cis][g],CIS-DIFLUOROETHYLENE (GAS),350,C2H2F2,g,,,gas_phase_organic,,
C2H2F2[trans][g],TRANS-DIFLUOROETHYLENE (GAS),351,C2H2F2,g,,,gas_phase_organic,,
C2H3F[g],FLUOROETHYLENE (GAS),352,C2H3F,g,,,gas_phase_organic,,
CHFBr2[g],FLUORODIBROMOMETHANE (GAS),353,CHFBr2,g,,,gas_phase_organic,,
CHF2Br[g],DIFLUOROBROMOMETHANE (GAS),354,CHF2Br,g,,,gas_phase_organic,,
CH2FBr[g],FLUOROBROMOMETHANE (GAS),355,CH2FBr,g,,,gas_phase_organic,,
CHFBrI[g],FLUOROBROMOIODOMETHANE (GAS),356,CHFBrI,g,,,gas_phase_organic,,
CHFCl[g],FLUOROCHLOROMETHYL (GAS),357,CHFCl,g,,,gas_phase_organic,,
CHFCl2[g],FLUORODICHLOROMETHANE (GAS),358,CHFCl2,g,,,gas_phase_organic,,
CHF2Cl[g],DIFLUOROCHLOROMETHANE (GAS),359,CHF2Cl,g,,,gas_phase_organic,,
CH2FCl[g],FLUOROCHLOROMETHANE (GAS),360,CH2FCl,g,,,gas_phase_organic,,
C2HFCl2[g],FLUORODICHLOROETHYLENE (GAS),361,C2HFCl2,g,,,gas_phase_organic,,
"C2HFCl2[1,1][g]","1,1-FLUORODICHLOROETHYLENE (GAS)",362,C2HFCl2,g,,,gas_phase_organic,,
C2HFCl2[cis][g],CIS-FLUORODICHLOROETHYLENE (GAS),363,C2HFCl2,g,,,gas_phase_organic,,
C2HFCl2[trans][g],TRANS-FLUORODICHLOROETHYLENE (GAS),364,C2HFCl2,g,,,gas_phase_organic,,
C2HF2Cl[g],DIFLUOROCHLOROETHYLENE (GAS),365,C2HF2Cl,g,,,gas_phase_organic,,
"C2HF2Cl[1,1][g]","1,1-DIFLUOROCHLOROETHYLENE (GAS)",366,C2HF2Cl,g,,,gas_phase_organic,,
C2HF2Cl[cis][g],CIS-DIFLUOROCHLOROETHYLENE (GAS),367,C2HF2Cl,g,,,gas_phase_organic,,
C2HF2Cl[trans][g],TRANS-DIFLUOROCHLOROETHYLENE (GAS),368,C2HF2Cl,g,,,gas_phase_organic,,
C2H2FCl[g],FLUOROCHLOROETHYLENE (GAS),369,C2H2FCl,g,,,gas_phase_organic,,
"C2H2FCl[1,1][g]","1,1-FLUOROCHLOROETHYLENE (GAS)",370,C2H2FCl,g,,,gas_phase_organic,,
C2H2FCl[cis][g],CIS-FLUOROCHLOROETHYLENE (GAS),371,C2H2FCl,g,,,gas_phase_organic,,
C2H2FCl[trans][g],TRANS-FLUOROCHLOROETHYLENE (GAS),372,C2H2FCl,g,,,gas_phase_organic,,
CHFCIBr[g],FLUOROCHLOROBROMOMETHANE (GAS),373,CHFClBr,g,,,gas_phase_organic,,
CHFClI[g],FLUOROCHLOROIODOMETHANE (GAS),374,CHFClI,g,,,gas_phase_organic,,
CHFI2[g],FLUORODIIODOMETHANE (GAS),375,CHFI2,g,,,gas_phase_organic,,
CHF2I[g],DIFLUOROIODOMETHANE (GAS),376,CHF2I,g,,,gas_phase_organic,,
CH2FI[g],FLUOROIODOMETHANE (GAS),377,CH2FI,g,,,gas_phase_organic,,
CHI3[g],TRIIODOMETHANE (GAS),378,CHI3,g,,,gas_phase_organic,,
CH2I2[g],DIIODOMETHANE (GAS),379,CH2I2,g,,,gas_phase_organic,,
CH3I[g],IODOMETHANE (GAS),380,CH3I,g,,,gas_phase_organic,,
CHO[g],OXOMETHYL (GAS),381,CHO,g,,,gas_phase_organic,,
CH2O[g],FORMALDEHYDE (GAS),382,CH2O,g,,,gas_phase_organic,,
CH2O2[g],FORMIC ACID (GAS),383,CH2O2,g,,,gas_phase_organic,,
CH3O[g],CARBON OXIDE-TRIHYDRIDE (GAS),384,CH3O,g,,,gas_phase_organic,,
CH4O[g],METHANOL (GAS),386,CH4O,g,,,gas_phase_organic,,
C2H2O[g],ETHENONE (KETENE) (GAS),386,C2H2O,g,,,gas_phase_organic,,
C2H4O[g],ACETALDEHYDE (GAS),387,C2H4O,g,,,gas_phase_organic,,
C2H4O2[g],ACETIC ACID (GAS),388,C2H4O2,g,,,gas_phase_organic,,
C2H6O[g],ETHANOL (GAS),389,C2H6O,g,,,gas_phase_organic,,
C3H6O[g],ACETONE (GAS),390,C3H6O,g,,,gas_phase_organic,,
C6H6O[g],PHENOL (GAS),391,C6H6O,g,,,gas_phase_organic,,
CH2OH[g],CARBON DIHYDRIDE-HYDROXIDE (GAS),392,CH2OH,g,,,gas_phase_organic,,
COOH[g],CARBOXYL (GAS),411,COOH,g,,,gas_phase_organic,,
HCCN[g],DICARBON HYDRIDE-NITRIDE (GAS),786,HCCN,g,,,gas_phase_organic,,
HCN[g],HYDROGEN CYANIDE (GAS),787,HCN,g,,,gas_phase_organic,,
HClCO[g],CARBON OXIDE-HYDRIDE-CHLORIDE (GAS),789,HClCO,g,,,gas_phase_organic,,
HFCO[g],CARBON OXIDE-HYDRIDE-FLUORIDE (GAS),791,HFCO,g,,,gas_phase_organic,,
HNC[g],NITROGEN HYDRIDE-CARBIDE (GAS),793,HNC,g,,,gas_phase_organic,,
HNCO[g],ISOCYANIC ACID (GAS),794,HNCO,g,,,gas_phase_organic,,
